Rank,name,pokedex_number,abilities,typing,hp,attack,defense,special_attack,special_defense,speed,height,weight,genus,gen_introduced,female_rate,genderless,baby_pokemon,legendary,mythical,is_default,forms_switchable,base_experience,capture_rate,egg_groups,egg_cycles,base_happiness,can_evolve,evolves_from,primary_color,shape,number_pokemon_with_typing,defense_vs_normal,defense_vs_fire,defense_vs_water,defense_vs_electric,defense_vs_grass,defense_vs_ice,defense_vs_fighting,defense_vs_poison,defense_vs_ground,defense_vs_flying,defense_vs_psychic,defense_vs_bug,defense_vs_rock,defense_vs_ghost,defense_vs_dragon,defense_vs_dark,defense_vs_steel,defense_vs_fairy
OU,Clefable,36,Cute Charm~Magic Guard~Unaware,Fairy,95,70,73,95,90,60,13,400,Fairy Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,217,25,Fairy,10,140,FALSE,Clefairy,Pink,Upright,19,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
LC,Vulpix,37,Flash Fire~Drought,Fire,38,41,40,50,65,65,6,99,Fox Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,190,Field,20,70,TRUE,,Brown,Quadruped,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
(PU),Ninetales,38,Flash Fire~Drought,Fire,73,76,75,81,100,100,11,199,Fox Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,177,75,Field,20,70,FALSE,Vulpix,Yellow,Quadruped,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
NFE,Jigglypuff,39,Cute Charm~Competitive~Friend Guard,Normal~Fairy,115,45,20,45,25,20,5,55,Balloon Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,95,170,Fairy,10,70,TRUE,Igglybuff,Pink,Humanoid,5,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
(PU),Wigglytuff,40,Cute Charm~Competitive~Frisk,Normal~Fairy,140,70,45,85,50,45,10,120,Balloon Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,196,50,Fairy,10,70,FALSE,Jigglypuff,Pink,Humanoid,5,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
LC,Zubat,41,Inner Focus~Infiltrator,Poison~Flying,40,45,35,30,40,55,8,75,Bat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,49,255,Flying,15,70,TRUE,,Purple,Wings,3,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
NFE,Golbat,42,Inner Focus~Infiltrator,Poison~Flying,75,80,70,65,75,90,16,550,Bat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,159,90,Flying,15,70,TRUE,Zubat,Purple,Wings,3,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
LC,Oddish,43,Chlorophyll~Run Away,Grass~Poison,45,50,55,75,65,30,5,54,Weed Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,255,Grass,20,70,TRUE,,Blue,Legs,15,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
NFE,Gloom,44,Chlorophyll~Stench,Grass~Poison,60,65,70,85,75,40,8,86,Weed Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,138,120,Grass,20,70,TRUE,Oddish,Blue,Humanoid,15,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
NU,Vileplume,45,Chlorophyll~Effect Spore,Grass~Poison,75,80,85,110,90,50,12,186,Flower Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,221,45,Grass,20,70,FALSE,Gloom,Red,Humanoid,15,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
LC,Diglett,50,Sand Veil~Arena Trap~Sand Force,Ground,10,55,25,35,45,95,2,8,Mole Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,53,255,Field,20,70,TRUE,,Brown,Blob,17,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
(PU),Dugtrio,51,Sand Veil~Arena Trap~Sand Force,Ground,35,100,50,50,70,120,7,333,Mole Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,149,50,Field,20,70,FALSE,Diglett,Brown,Heads,17,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
LC,Meowth,52,Pickup~Technician~Unnerve,Normal,40,45,35,40,40,90,4,42,Scratch Cat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,58,255,Field,20,70,TRUE,,Yellow,Quadruped,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
(PU),Persian,53,Limber~Technician~Unnerve,Normal,65,70,60,65,65,115,10,320,Classy Cat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,154,90,Field,20,70,FALSE,Meowth,Yellow,Quadruped,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
LC,Psyduck,54,Damp~Cloud Nine~Swift Swim,Water,50,52,48,65,50,55,8,196,Duck Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,190,Water 1~Field,20,70,TRUE,,Yellow,Upright,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
(PU),Golduck,55,Damp~Cloud Nine~Swift Swim,Water,80,82,78,95,80,85,17,766,Duck Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,175,75,Water 1~Field,20,70,FALSE,Psyduck,Blue,Upright,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
LC,Growlithe,58,Intimidate~Flash Fire~Justified,Fire,55,70,45,70,50,60,7,190,Puppy Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,70,190,Field,20,70,TRUE,,Brown,Quadruped,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
NU,Arcanine,59,Intimidate~Flash Fire~Justified,Fire,90,110,80,100,80,95,19,1550,Legendary Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,194,75,Field,20,70,FALSE,Growlithe,Brown,Quadruped,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
LC,Poliwag,60,Water Absorb~Damp~Swift Swim,Water,40,50,40,40,40,90,6,124,Tadpole Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,255,Water 1,20,70,TRUE,,Blue,Legs,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
NFE,Poliwhirl,61,Water Absorb~Damp~Swift Swim,Water,65,65,65,50,50,90,10,200,Tadpole Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,135,120,Water 1,20,70,TRUE,Poliwag,Blue,Humanoid,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
(PU),Poliwrath,62,Water Absorb~Damp~Swift Swim,Water~Fighting,90,95,95,70,90,70,13,540,Tadpole Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,230,45,Water 1,20,70,FALSE,Poliwhirl,Blue,Humanoid,4,1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2
LC,Abra,63,Synchronize~Inner Focus~Magic Guard,Psychic,25,20,15,105,55,90,9,195,Psi Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,62,200,Human-Like,20,70,TRUE,,Brown,Upright,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
NFE,Kadabra,64,Synchronize~Inner Focus~Magic Guard,Psychic,40,35,30,120,70,105,13,565,Psi Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,140,100,Human-Like,20,70,TRUE,Abra,Brown,Upright,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
UUBL,Alakazam,65,Synchronize~Inner Focus~Magic Guard,Psychic,55,50,45,135,95,120,15,480,Psi Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,225,50,Human-Like,20,70,FALSE,Kadabra,Brown,Humanoid,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
LC,Machop,66,Guts~No Guard~Steadfast,Fighting,70,80,50,35,35,35,8,195,Superpower Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,61,180,Human-Like,20,70,TRUE,,Gray,Upright,29,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
NFE,Machoke,67,Guts~No Guard~Steadfast,Fighting,80,100,70,50,60,45,15,705,Superpower Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,90,Human-Like,20,70,TRUE,Machop,Gray,Humanoid,29,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
PUBL,Machamp,68,Guts~No Guard~Steadfast,Fighting,90,130,80,65,85,55,16,1300,Superpower Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,227,45,Human-Like,20,70,FALSE,Machoke,Gray,Humanoid,29,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
LC,Tentacool,72,Clear Body~Liquid Ooze~Rain Dish,Water~Poison,40,40,35,50,100,70,9,455,Jellyfish Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,67,190,Water 3,20,70,TRUE,,Blue,Tentacles,6,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
UU,Tentacruel,73,Clear Body~Liquid Ooze~Rain Dish,Water~Poison,80,70,65,80,120,100,16,550,Jellyfish Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,180,60,Water 3,20,70,FALSE,Tentacool,Blue,Tentacles,6,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
LC,Ponyta,77,Run Away~Flash Fire~Flame Body,Fire,50,85,55,65,65,90,10,300,Fire Horse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,82,190,Field,20,70,TRUE,,Yellow,Quadruped,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
(PU),Rapidash,78,Run Away~Flash Fire~Flame Body,Fire,65,100,70,80,80,105,17,950,Fire Horse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,175,60,Field,20,70,FALSE,Ponyta,Yellow,Quadruped,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
LC,Slowpoke,79,Oblivious~Own Tempo~Regenerator,Water~Psychic,90,65,65,40,40,15,12,360,Dopey Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,63,190,Monster~Water 1,20,70,TRUE,,Pink,Quadruped,6,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
OU,Slowbro,80,Oblivious~Own Tempo~Regenerator,Water~Psychic,95,75,110,100,80,30,16,785,Hermit Crab Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,172,75,Monster~Water 1,20,70,FALSE,Slowpoke,Pink,Upright,6,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
LC,Magnemite,81,Magnet Pull~Sturdy~Analytic,Electric~Steel,25,35,70,95,55,45,3,60,Magnet Pokémon,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,65,190,Mineral,20,70,TRUE,,Gray,Arms,4,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
NFE,Magneton,82,Magnet Pull~Sturdy~Analytic,Electric~Steel,50,60,95,120,70,70,10,600,Magnet Pokémon,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,163,60,Mineral,20,70,TRUE,Magnemite,Gray,Heads,4,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
LC,Shellder,90,Shell Armor~Skill Link~Overcoat,Water,30,65,100,45,25,40,3,40,Bivalve Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,61,190,Water 3,20,70,TRUE,,Purple,Ball,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
RU,Cloyster,91,Shell Armor~Skill Link~Overcoat,Water~Ice,50,95,180,85,45,70,15,1325,Bivalve Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,184,60,Water 3,20,70,FALSE,Shellder,Purple,Ball,7,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
NFE,Gastly,92,Levitate,Ghost~Poison,30,35,30,100,35,80,13,1,Gas Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,62,190,Amorphous,20,70,TRUE,,Purple,Ball,4,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
NFE,Haunter,93,Levitate,Ghost~Poison,45,50,45,115,55,95,16,1,Gas Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,90,Amorphous,20,70,TRUE,Gastly,Purple,Arms,4,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
UUBL,Gengar,94,Cursed Body,Ghost~Poison,60,65,60,130,75,110,15,405,Shadow Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,225,45,Amorphous,20,70,FALSE,Haunter,Purple,Upright,4,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
LC,Onix,95,Rock Head~Sturdy~Weak Armor,Rock~Ground,35,45,160,30,45,70,88,2100,Rock Snake Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,77,45,Mineral,25,70,TRUE,,Gray,Squiggle,9,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
LC,Krabby,98,Hyper Cutter~Shell Armor~Sheer Force,Water,30,105,90,25,25,50,4,65,River Crab Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,65,225,Water 3,20,70,TRUE,,Red,Armor,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
PUBL,Kingler,99,Hyper Cutter~Shell Armor~Sheer Force,Water,55,130,115,50,50,75,13,600,Pincer Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,166,60,Water 3,20,70,FALSE,Krabby,Red,Armor,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
LC,Exeggcute,102,Chlorophyll~Harvest,Grass~Psychic,60,40,80,60,45,40,4,25,Egg Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,65,90,Grass,20,70,TRUE,,Pink,Heads,4,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
(PU),Exeggutor,103,Chlorophyll~Harvest,Grass~Psychic,95,95,85,125,75,55,20,1200,Coconut Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,186,45,Grass,20,70,FALSE,Exeggcute,Yellow,Legs,4,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
LC,Cubone,104,Rock Head~Lightning Rod~Battle Armor,Ground,50,50,95,40,50,35,4,65,Lonely Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,190,Monster,20,70,TRUE,,Brown,Upright,17,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
(PU),Marowak,105,Rock Head~Lightning Rod~Battle Armor,Ground,60,80,110,50,80,45,10,450,Bone Keeper Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,149,75,Monster,20,70,FALSE,Cubone,Brown,Upright,17,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
PU,Hitmonlee,106,Limber~Reckless~Unburden,Fighting,50,120,53,35,110,87,15,498,Kicking Pokémon,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,159,45,Human-Like,25,70,FALSE,Tyrogue,Brown,Humanoid,29,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
(PU),Hitmonchan,107,Keen Eye~Iron Fist~Inner Focus,Fighting,50,105,79,35,110,76,14,502,Punching Pokémon,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,159,45,Human-Like,25,70,FALSE,Tyrogue,Brown,Humanoid,29,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
LC,Lickitung,108,Own Tempo~Oblivious~Cloud Nine,Normal,90,55,75,60,75,30,12,655,Licking Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,77,45,Monster,20,70,TRUE,,Pink,Upright,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
LC,Koffing,109,Levitate,Poison,40,65,95,60,45,35,6,10,Poison Gas Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,68,190,Amorphous,20,70,TRUE,,Purple,Ball,16,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
PU,Weezing,110,Levitate,Poison,65,90,120,85,70,60,12,95,Poison Gas Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,172,60,Amorphous,20,70,FALSE,Koffing,Purple,Heads,16,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
LC,Rhyhorn,111,Lightning Rod~Rock Head~Reckless,Ground~Rock,80,85,95,30,30,25,10,1150,Spikes Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,69,120,Monster~Field,20,70,TRUE,,Gray,Quadruped,9,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
NFE,Rhydon,112,Lightning Rod~Rock Head~Reckless,Ground~Rock,105,130,120,45,45,40,19,1200,Drill Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,170,60,Monster~Field,20,70,TRUE,Rhyhorn,Gray,Upright,9,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
UU,Chansey,113,Natural Cure~Serene Grace~Healer,Normal,250,5,5,35,105,50,11,346,Egg Pokémon,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,395,30,Fairy,40,140,TRUE,Happiny,Pink,Upright,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
NFE,Tangela,114,Chlorophyll~Leaf Guard~Regenerator,Grass,65,55,115,100,40,60,10,350,Vine Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,87,45,Grass,20,70,TRUE,,Blue,Legs,43,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
